ds,y
2022/12/27,5.9 
2022/12/28,5.6 
2022/12/29,7.0 
2022/12/30,5.7 
2022/12/31,4.9 
2023/1/1,5.7 
2023/1/2,5.4 
2023/1/3,5.0 
2023/1/4,4.9 
2023/1/5,5.1 
2023/1/6,4.6 
2023/1/7,5.2 
2023/1/8,6.1 
2023/1/9,6.9 
2023/1/10,5.5 
2023/1/11,4.7 
2023/1/12,5.3 
2023/1/13,7.5 
2023/1/14,8.2 
2023/1/15,8.9 
2023/1/16,5.5 
2023/1/17,4.1 
2023/1/18,6.3 
2023/1/19,5.5 
2023/1/20,6.6 
2023/1/21,4.9 
2023/1/22,4.2 
2023/1/23,3.9 
2023/1/24,4.1 
2023/1/25,-0.3 
2023/1/26,2.6 
2023/1/27,3.3 
2023/1/28,3.2 
2023/1/29,2.9 
2023/1/30,3.6 
2023/1/31,4.0 
2023/2/1,5.9 
2023/2/2,5.5 
2023/2/3,4.2 
2023/2/4,5.6 
2023/2/5,5.9 
2023/2/6,6.8 
2023/2/7,9.1 
2023/2/8,7.5 
2023/2/9,5.4 
2023/2/10,1.6 
2023/2/11,7.5 
2023/2/12,9.5 
2023/2/13,6.7 
2023/2/14,4.9 
2023/2/15,3.0 
2023/2/16,3.6 
2023/2/17,4.9 
2023/2/18,7.7 
2023/2/19,10.2 
2023/2/20,8.4 
2023/2/21,4.1 
2023/2/22,4.8 
2023/2/23,7.4 
2023/2/24,7.7 
2023/2/25,6.5 
2023/2/26,5.2 
2023/2/27,7.5 
2023/2/28,10.1 
2023/3/1,12.0 
2023/3/2,11.1 
2023/3/3,6.8 
2023/3/4,9.1 
2023/3/5,8.2 
2023/3/6,8.6 
2023/3/7,10.5 
2023/3/8,12.1 
2023/3/9,13.8 
2023/3/10,15.0 
2023/3/11,12.7 
2023/3/12,12.6 
2023/3/13,12.0 
2023/3/14,8.7 
2023/3/15,10.7 
2023/3/16,12.6 
2023/3/17,10.8 
2023/3/18,7.0 
2023/3/19,8.7 
2023/3/20,11.4 
2023/3/21,12.7 
2023/3/22,14.9 
2023/3/23,14.3 
2023/3/24,15.7 
2023/3/25,9.5 
2023/3/26,9.9 
2023/3/27,11.6 
2023/3/28,8.8 
2023/3/29,10.9 
2023/3/30,12.2 
2023/3/31,13.0 
2023/4/1,13.9 
2023/4/2,12.2 
2023/4/3,11.1 
2023/4/4,12.1 
2023/4/5,14.0 
2023/4/6,16.3 
2023/4/7,16.0 
2023/4/8,12.7 
2023/4/9,10.2 
2023/4/10,12.7 
2023/4/11,15.8 
2023/4/12,16.6 
2023/4/13,14.0 
2023/4/14,15.8 
2023/4/15,12.4 
2023/4/16,14.0 
2023/4/17,13.1 
2023/4/18,11.8 
2023/4/19,15.6 
2023/4/20,17.7 
2023/4/21,18.7 
2023/4/22,12.9 
2023/4/23,12.3 
2023/4/24,11.4 
2023/4/25,12.2 
2023/4/26,13.5 
2023/4/27,14.9 
2023/4/28,16.2 
2023/4/29,16.8 
2023/4/30,17.1 
2023/5/1,15.4 
2023/5/2,15.1 
2023/5/3,15.4 
2023/5/4,17.1 
2023/5/5,18.3 
