ds,y
2023/9/23,89.0 
2023/9/24,67.0 
2023/9/25,69.0 
2023/9/26,71.0 
2023/9/27,81.0 
2023/9/28,79.0 
2023/9/29,75.0 
2023/9/30,77.0 
2023/10/1,80.0 
2023/10/2,57.0 
2023/10/3,53.0 
2023/10/4,94.0 
2023/10/5,76.0 
2023/10/6,38.0 
2023/10/7,41.0 
2023/10/8,61.0 
2023/10/9,99.0 
2023/10/10,82.0 
2023/10/11,59.0 
2023/10/12,61.0 
2023/10/13,55.0 
2023/10/14,65.0 
2023/10/15,99.0 
2023/10/16,74.0 
2023/10/17,56.0 
2023/10/18,66.0 
2023/10/19,71.0 
2023/10/20,66.0 
2023/10/21,47.0 
2023/10/22,51.0 
2023/10/23,60.0 
2023/10/24,70.0 
2023/10/25,75.0 
2023/10/26,70.0 
2023/10/27,69.0 
2023/10/28,71.0 
2023/10/29,63.0 
2023/10/30,62.0 
2023/10/31,72.0 
2023/11/1,72.0 
2023/11/2,68.0 
2023/11/3,75.0 
2023/11/4,79.0 
2023/11/5,81.0 
2023/11/6,87.0 
2023/11/7,79.0 
2023/11/8,54.0 
2023/11/9,68.0 
2023/11/10,87.0 
2023/11/11,55.0 
2023/11/12,77.0 
2023/11/13,55.0 
2023/11/14,49.0 
2023/11/15,68.0 
2023/11/16,71.0 
2023/11/17,95.0 
2023/11/18,45.0 
2023/11/19,60.0 
2023/11/20,56.0 
2023/11/21,60.0 
2023/11/22,67.0 
2023/11/23,72.0 
2023/11/24,56.0 
2023/11/25,43.0 
2023/11/26,78.0 
2023/11/27,78.0 
2023/11/28,59.0 
2023/11/29,51.0 
2023/11/30,46.0 
2023/12/1,54.0 
2023/12/2,60.0 
2023/12/3,58.0 
2023/12/4,53.0 
2023/12/5,64.0 
2023/12/6,77.0 
2023/12/7,60.0 
2023/12/8,49.0 
2023/12/9,66.0 
2023/12/10,65.0 
2023/12/11,74.0 
2023/12/12,92.0 
2023/12/13,52.0 
2023/12/14,62.0 
2023/12/15,82.0 
2023/12/16,71.0 
2023/12/17,36.0 
2023/12/18,36.0 
2023/12/19,53.0 
2023/12/20,59.0 
2023/12/21,41.0 
2023/12/22,38.0 
2023/12/23,47.0 
2023/12/24,55.0 
2023/12/25,56.0 
2023/12/26,58.0 
2023/12/27,50.0 
2023/12/28,56.0 
2023/12/29,61.0 
2023/12/30,63.0 
2023/12/31,79.0 
2024/1/1,48.0 
2024/1/2,65.0 
2024/1/3,72.0 
2024/1/4,58.0 
2024/1/5,57.0 
2024/1/6,61.0 
2024/1/7,53.0 
2024/1/8,43.0 
2024/1/9,49.0 
2024/1/10,52.0 
2024/1/11,51.0 
2024/1/12,53.0 
2024/1/13,59.0 
2024/1/14,49.0 
2024/1/15,44.0 
2024/1/16,43.0 
2024/1/17,48.0 
2024/1/18,49.0 
