ds,y
2024/5/23,21.4 
2024/5/24,23.3 
2024/5/25,21.4 
2024/5/26,21.6 
2024/5/27,22.3 
2024/5/28,24.0 
2024/5/29,22.0 
2024/5/30,22.5 
2024/5/31,19.0 
2024/6/1,20.9 
2024/6/2,18.7 
2024/6/3,18.3 
2024/6/4,19.5 
2024/6/5,21.4 
2024/6/6,22.0 
2024/6/7,22.1 
2024/6/8,22.8 
2024/6/9,22.4 
2024/6/10,20.7 
2024/6/11,24.0 
2024/6/12,24.6 
2024/6/13,22.6 
2024/6/14,25.9 
2024/6/15,24.8 
2024/6/16,23.7 
2024/6/17,26.0 
2024/6/18,19.2 
2024/6/19,23.5 
2024/6/20,24.4 
2024/6/21,20.1 
2024/6/22,23.9 
2024/6/23,21.6 
2024/6/24,26.7 
2024/6/25,27.8 
2024/6/26,26.9 
2024/6/27,25.4 
2024/6/28,22.0 
2024/6/29,23.7 
2024/6/30,25.9 
2024/7/1,26.3 
2024/7/2,27.3 
2024/7/3,27.7 
2024/7/4,29.3 
2024/7/5,30.2 
2024/7/6,28.1 
2024/7/7,28.9 
2024/7/8,30.9 
2024/7/9,30.1 
2024/7/10,29.5 
2024/7/11,27.8 
2024/7/12,24.4 
2024/7/13,26.2 
2024/7/14,25.4 
2024/7/15,24.6 
2024/7/16,23.9 
2024/7/17,25.8 
2024/7/18,28.4 
2024/7/19,30.0 
2024/7/20,30.7 
2024/7/21,29.1 
2024/7/22,30.5 
2024/7/23,29.5 
2024/7/24,30.1 
2024/7/25,30.2 
2024/7/26,30.1 
2024/7/27,30.3 
2024/7/28,31.6 
2024/7/29,32.3 
2024/7/30,30.8 
2024/7/31,29.4 
